"Flux Type Id","Land Use Category Id","Version"
1,1,1
1,9,1
1,17,1
1,25,1
1,33,1
2,1,1
2,9,1
2,17,1
2,25,1
2,33,1
3,1,1
3,9,1
3,17,1
3,25,1
3,33,1
4,1,1
4,9,1
4,17,1
4,25,1
4,33,1
5,1,1
5,9,1
5,17,1
5,25,1
5,33,1
6,1,1
6,9,1
6,17,1
6,25,1
6,33,1
7,1,1
7,9,1
7,17,1
7,25,1
7,33,1
8,1,1
8,9,1
8,17,1
8,25,1
8,33,1
9,1,1
9,9,1
9,17,1
9,25,1
9,33,1
10,1,1
10,9,1
10,17,1
10,25,1
10,33,1
11,1,1
11,9,1
11,17,1
11,25,1
11,33,1
12,1,1
12,9,1
12,17,1
12,25,1
12,33,1
13,1,1
13,9,1
13,17,1
13,25,1
13,33,1
14,1,1
14,9,1
14,17,1
14,25,1
14,33,1
15,1,1
15,9,1
15,17,1
15,25,1
15,33,1
16,1,1
16,9,1
16,17,1
16,25,1
16,33,1
17,1,1
17,9,1
17,17,1
17,25,1
17,33,1
18,1,1
18,9,1
18,17,1
18,25,1
18,33,1
19,1,1
19,9,1
19,17,1
19,25,1
19,33,1
20,1,1
20,9,1
20,17,1
20,25,1
20,33,1
21,1,1
21,9,1
21,17,1
21,25,1
21,33,1
22,1,1
22,9,1
22,17,1
22,25,1
22,33,1
23,1,1
23,9,1
23,17,1
23,25,1
23,33,1
24,1,1
24,9,1
24,17,1
24,25,1
24,33,1
